feature,pearson_corr,abs_pearson_corr
adult_mortality_15_60,-0.9409866185842387,0.9409866185842387
u5_mortality_rate,-0.8872076825906761,0.8872076825906761
underweight_adults_pct,-0.6215481994029738,0.6215481994029738
pol3_coverage_pct,0.6090131813077492,0.6090131813077492
dtp3_coverage_pct,0.6066668736826413,0.6066668736826413
gdp_per_capita_2015usd,0.6035464553942117,0.6035464553942117
overweight_adults_pct,0.5972810255310951,0.5972810255310951
thinness_children_adolescents_pct,-0.47207074122254983,0.47207074122254983
alcohol_per_capita_15plus,0.37318910066052824,0.37318910066052824
che_pct_gdp,0.2782470823941587,0.2782470823941587
infant_deaths,-0.2719090688959163,0.2719090688959163
hepb3_coverage_pct,0.2620604296172852,0.2620604296172852
